strike,maturity_days,moneyness,w,price
1344.292,210,1.05,call,43.41359901633236
1376.299,210,1.075,call,29.90607904661012
1408.3059,210,1.1,call,19.110432240813626
1440.3129,210,1.125,call,11.268256009082716
1472.3198,210,1.15,call,6.210621881166686
1504.3268,210,1.175,call,3.2886806164889206
1536.3337,210,1.2,call,1.7150050002268769
1568.3407,210,1.225,call,0.8929672609755863
960.2086,220,0.75,put,18.76521122303905
992.2155,220,0.775,put,22.545069068991992
1024.2225,220,0.8,put,26.920811885287662
1056.2294,220,0.825,put,31.962884126848703
1088.2364,220,0.85,put,37.748256862566365
1120.2433,220,0.875,put,44.36143343426055
1152.2503,220,0.9,put,51.895946538772144
1184.2572,220,0.925,put,60.456667020964964
1216.2642,220,0.95,put,70.1634441305146
1248.2711,220,0.975,put,81.15686280948866
1280.2781,220,1.0,call,78.82941632779992
1312.2851,220,1.025,call,60.97256003982029
1344.292,220,1.05,call,45.055021740405465
1376.299,220,1.075,call,31.411006531719032
1408.3059,220,1.1,call,20.403828046744284
1440.3129,220,1.125,call,12.282233035475132
1472.3198,220,1.15,call,6.926522738763634
1504.3268,220,1.175,call,3.7529481313026194
1536.3337,220,1.2,call,2.0015171881641383
1568.3407,220,1.225,call,1.0656573677988748
960.2086,230,0.75,put,20.13768974546644
992.2155,230,0.775,put,24.058967805382117
1024.2225,230,0.8,put,28.575566270584787
1056.2294,230,0.825,put,33.755206937162406
1088.2364,230,0.85,put,39.67182615672637
1120.2433,230,0.875,put,46.4066086406678
1152.2503,230,0.9,put,54.04952218153996
1184.2572,230,0.925,put,62.70166255450843
1216.2642,230,0.95,put,72.47889523849472
1248.2711,230,0.975,put,83.5175028647065
1280.2781,230,1.0,call,80.5380183624049
1312.2851,230,1.025,call,62.66074344423563
1344.292,230,1.05,call,46.67675358847025
1376.299,230,1.075,call,32.90731466886863
1408.3059,230,1.1,call,21.703052110119334
1440.3129,230,1.125,call,13.31693693442317
1472.3198,230,1.15,call,7.67191520861139
1504.3268,230,1.175,call,4.246494764160055
1536.3337,230,1.2,call,2.312103353737768
1568.3407,230,1.225,call,1.256411832454078
960.2086,240,0.75,put,21.51607745694892
992.2155,240,0.775,put,25.573574989764033
1024.2225,240,0.8,put,30.225436056693905
1056.2294,240,0.825,put,35.53687593841242
1088.2364,240,0.85,put,41.579060484948755
1120.2433,240,0.875,put,48.430164461706255
1152.2503,240,0.9,put,56.17693541752716
1184.2572,240,0.925,put,64.91705904093642
1216.2642,240,0.95,put,74.7627781333012
1248.2711,240,0.975,put,85.84640080059673
1280.2781,240,1.0,call,82.21718502141816
